Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	ST(Achtman 7 Gene MLST)	Assembly Barcode(Assembly stats)	ST(cgMLST V2 + HierCC V1)	HC0 (indistinguishable)(cgMLST V2 + HierCC V1)	HC2(cgMLST V2 + HierCC V1)	HC5(cgMLST V2 + HierCC V1)	HC10(cgMLST V2 + HierCC V1)	HC20(cgMLST V2 + HierCC V1)	HC50(cgMLST V2 + HierCC V1)	HC100(cgMLST V2 + HierCC V1)	HC200(cgMLST V2 + HierCC V1)	HC400(cgMLST V2 + HierCC V1)	HC900 (ceBG)(cgMLST V2 + HierCC V1)	HC2000 (Super-lineage)(cgMLST V2 + HierCC V1)	HC2600(cgMLST V2 + HierCC V1)	HC2850 (subsp.)(cgMLST V2 + HierCC V1)
SAL_UA2930AA	602630	SRR8293799;ILLUMINA;Paired;;SRX5108387;;	SAL_UA2930AA	Human	Human	human; Homo sapiens	2018	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10536563	SRS4117794	2018-12-10	2018-12-10	13	SAL_HB2224AA_AS	161473	157440	132367	4181	477	419	29	29	28	28	28	28	28	2
SAL_UA2935AA	601644	SRR8293794;ILLUMINA;Paired;;SRX5108382;;	SAL_UA2935AA	Human	Human	human; Homo sapiens	2018	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10536557	SRS4117789	2018-12-10	2018-12-10	13	SAL_HB2219AA_AS	161466	157444	157444	4181	477	419	29	29	28	28	28	28	28	2
SAL_UA6064AA	656768	SRR8366145;ILLUMINA;Paired;;SRX5176465;;	SAL_UA6064AA	Human	Human	human; Homo sapiens	2018	12			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10639980	SRS4183758	2018-12-24	2018-12-23	13	SAL_HB6699AA_AS	163102	160109	160109	4181	477	419	29	29	28	28	28	28	28	2
SAL_UA7793AA	662761	SRR8429904;ILLUMINA;Paired;;SRX5237715;;	SAL_UA7793AA	Human	Human	human; Homo sapiens	2018	12			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10723689	SRS4240634	2019-01-15	2019-01-11	13	SAL_IB1406AA_AS	164145	164145	126569	4181	477	419	29	29	28	28	28	28	28	2
SAL_VA0297AA	553748	SRR8499323;ILLUMINA;Paired;;SRX5303325;;	SAL_VA0297AA	Human	Human	human; Homo sapiens	2018	6			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10836065	SRS4301337	2019-01-29	2019-01-29	13	SAL_IB6801AA_AS	166486	166486	166486	4181	477	419	29	29	28	28	28	28	28	2
SAL_VA1339AA	486535	SRR8514761;ILLUMINA;Paired;;SRX5318352;;	SAL_VA1339AA	Human	Human	human; Homo sapiens	2018	2			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10855063	SRS4314199	2019-02-01	2019-02-01	13	SAL_IB7996AA_AS	167233	167233	152680	4181	477	419	29	29	28	28	28	28	28	2
SAL_VA2087AA	461169	SRR8524687;ILLUMINA;Paired;;SRX5327522;;	SAL_VA2087AA	Human	Human	human; Homo sapiens	2017	12			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10867391	SRS4322272	2019-02-04	2019-02-03	13	SAL_IB9302AA_AS	167940	167940	167940	4181	477	419	29	29	28	28	28	28	28	2
SAL_VA7091AA	370631	SRR8585171;ILLUMINA;Paired;;SRX5385718;;	SAL_VA7091AA	Human	Human	human; Homo sapiens	2017	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10959455	SRS4374242	2019-02-18	2019-02-17	13	SAL_JB6580AA_AS	171934	171934	171934	4181	477	419	29	29	28	28	28	28	28	2
SAL_VA8497AA	350686	SRR8648227;ILLUMINA;Paired;;SRX5446008;;	SAL_VA8497AA	Human	Human	human; Homo sapiens	2017	3			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11031517	SRS4423057	2019-03-01	2019-02-28	13	SAL_JB9521AA_AS	172526	172526	172526	4181	477	419	29	29	28	28	28	28	28	2
SAL_WA0219AA	203646	SRR8701093;ILLUMINA;Paired;;SRX5496687;;	SAL_WA0219AA	Human	Human	human; Homo sapiens	2016	1			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11092936	SRS4466290	2019-03-10	2019-03-09	13	SAL_KB2744AA_AS	125156	125156	7255	4181	477	419	29	29	28	28	28	28	28	2
SAL_WA1660AA	134019	SRR8740777;ILLUMINA;Paired;;SRX5532912;;	SAL_WA1660AA	Human	Human	human; Homo sapiens	2015	7			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11157190	SRS4499123	2019-03-18	2019-03-18	13	SAL_KB6210AA_AS	175903	175903	7255	4181	477	419	29	29	28	28	28	28	28	2
SAL_XA4008AA	742459	SRR9274357;ILLUMINA;Paired;;SRX6044488;;	SAL_XA4008AA	Human	Human	human; Homo sapiens	2019	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12023944	SRS4947611	2019-06-12	2019-06-12	13	SAL_MB7965AA_AS	185718	185718	185718	4181	477	419	29	29	28	28	28	28	28	2
SAL_YA0146AA	766747	SRR9626915;ILLUMINA;Paired;;SRX6389032;;	SAL_YA0146AA	Human	Human	human; Homo sapiens	2019	6			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12202562	SRS5048521	2019-07-11	2019-07-03	13	SAL_NB6620AA_AS	189440	189440	189440	4181	477	419	29	29	28	28	28	28	28	2
SAL_ZA0038AA	SG17-135	traces-0WVeTIL;ILLUMINA;Paired;;NA;;,traces-0Gfnloi;ILLUMINA;Paired;;NA;;	SAL_ZA0038AA	Wild Animal	Avian	Gull	2017				Oceania	Australia							Agona				University of Technlogy, Sydney							2019-08-28	2019-08-28	13	SAL_PB9279AA_AS	199392	199392	199392	4181	477	419	29	29	28	28	28	28	28	2
