Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)
SAL_PA8661AA	259254	SRR7204596;ILLUMINA;Paired;;SRX4113593;;	SAL_PA8661AA	Human	Human	Homo sapiens; human	2016	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09238837	SRS3329019	2018-05-25	2018-05-23	NaN	122684	122684	122684	71352	477	419	29	29	28	28	28	28	28	2
SAL_RA0957AA	434341	SRR7458047;ILLUMINA;Paired;;SRX4328543;;	SAL_RA0957AA	Human	Human	Homo sapiens; human	2017	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09522004	SRS3490645	2018-07-02	2018-07-01	NaN	132244	132244	120608	71352	477	419	29	29	28	28	28	28	28	2
SAL_RA8309AA	316654	SRR7538779;ILLUMINA;Paired;;SRX4406310;;	SAL_RA8309AA	Human	Human	Homo sapiens; human	2016	11			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09690787	SRS3560274	2018-07-19	2018-07-19	NaN	138662	138662	120608	71352	477	419	29	29	28	28	28	28	28	2
SAL_SA6732AA	601697	SRR7867029;ILLUMINA;Paired;;SRX4706209;;	SAL_SA6732AA	Human	Human	Homo sapiens; human	2018	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10080186	SRS3791971	2018-09-18	2018-09-18	NaN	143783	143783	143783	71352	477	419	29	29	28	28	28	28	28	2
SAL_TA0300AA	613784	SRR7962313;ILLUMINA;Paired;;SRX4795970;;	SAL_TA0300AA	Human	Human	Homo sapiens; human	2018	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10174181	SRS3875122	2018-10-04	2018-10-04	NaN	146278	146278	120608	71352	477	419	29	29	28	28	28	28	28	2
SAL_TA3894AA	201704902	traces-0NOQnJL;ILLUMINA;Paired;;NA;;	SAL_TA3894AA	Human	Human		2017				Europe	France							Agona				F.X.Weill, Institut Pasteur							2018-10-26	2019-11-02	NaN	148009	143783	143783	71352	477	419	29	29	28	28	28	28	28	2
SAL_TA6539AA	621754	SRR8149176;ILLUMINA;Paired;;SRX4969802;;	SAL_TA6539AA	Human	Human	Homo sapiens; human	2018	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10370118	SRS4008564	2018-11-07	2018-11-04	NaN	151089	151089	151089	71352	477	419	29	29	28	28	28	28	28	2
SAL_VA9370AA	286817	SRR8667293;ILLUMINA;Paired;;SRX5463363;;	SAL_VA9370AA	Human	Human	Homo sapiens; human	2016	8			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11052239	SRS4437158	2019-03-05	2019-03-05	NaN	173150	173150	173150	71352	477	419	29	29	28	28	28	28	28	2
SAL_VA9683AA	262765	SRR8691683;ILLUMINA;Paired;;SRX5487537;;	SAL_VA9683AA	Human	Human	Homo sapiens; human	2016	6			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11079981	SRS4460114	2019-03-07	2019-03-07	NaN	173542	173542	173542	71352	477	419	29	29	28	28	28	28	28	2
SAL_JA6186AA	350650	SRR5583984;ILLUMINA;Paired;;SRX2841897;236212928;98	SAL_JA6186AA	Human	Human	Homo sapiens; human	2017	3			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN07155542	SRS2215231	2017-05-23	2017-05-23	NaN	71490	71490	71490	71490	477	419	29	29	28	28	28	28	28	2
SAL_JA8382AA	362757	SRR5631625;ILLUMINA;Paired;;SRX2871489;369331032;98	SAL_JA8382AA	Human	Human	Homo sapiens; human	2017	4			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN07179546	SRS2241648	2017-06-02	2017-06-01	NaN	73090	71490	71490	71490	477	419	29	29	28	28	28	28	28	2
SAL_VA8588AA	341281	SRR8647222;ILLUMINA;Paired;;SRX5445003;;	SAL_VA8588AA	Human	Human	Homo sapiens; human	2017	2			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11031183	SRS4422140	2019-03-01	2019-02-28	NaN	172450	172450	71490	71490	477	419	29	29	28	28	28	28	28	2
SAL_ZA5868AA	808855	SRR10232176;ILLUMINA;Paired;;SRX6951475;;	SAL_ZA5868AA	Human	Human	Homo sapiens; human	2019	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12915226	SRS5479042	2019-10-06	2019-10-05	NaN	204212	204212	204212	71490	477	419	29	29	28	28	28	28	28	2
SAL_BB4515AA	SMG-19-2194	traces-0RuJyia;ILLUMINA;Paired;;NA;;	SAL_BB4515AA								Europe	United Kingdom	Scotland										D. Brown (Scotland)							2019-12-13	2019-12-13	NaN	218518	218518	204212	71490	477	419	29	29	28	28	28	28	28	2
SAL_JA5571AA	343781	SRR5585085;ILLUMINA;Paired;;SRX2842998;346701366;99	SAL_JA5571AA	Human	Human	Homo sapiens; human	2017	2			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN07155818	SRS2216317	2017-05-23	2017-05-23	NaN	72275	72275	72275	71609	477	419	29	29	28	28	28	28	28	2
SAL_JA6018AA	363498	SRR5584555;ILLUMINA;Paired;;SRX2842468;157926720;96	SAL_JA6018AA	Human	Human	Homo sapiens; human	2017	4			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN07155589	SRS2215800	2017-05-23	2017-05-23	NaN	71609	71609	71609	71609	477	419	29	29	28	28	28	28	28	2
SAL_PA2116AA	14-25-18-8100274-T	traces-0uLaHNJ;ILLUMINA;Paired;;NA;;	SAL_PA2116AA				2018				Europe	United Kingdom	Scotland						Agona				D. Brown (Scotland)							2018-04-19	2018-10-22	NaN	113887	113887	113887	71609	477	419	29	29	28	28	28	28	28	2
SAL_PA4831AA	373891	SRR7108606;ILLUMINA;Paired;;SRX4036522;;	SAL_PA4831AA	Human	Human	Homo sapiens; human	2017	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09060248	SRS3254334	2018-05-04	2018-05-04	NaN	119600	119600	72275	71609	477	419	29	29	28	28	28	28	28	2
SAL_PA5090AA	PNUSAS039858	SRR7119001;ILLUMINA;Paired;;SRX4040714;;	SAL_PA5090AA								North America	United States											Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch			PRJNA230403	SRP040281	SAMN09071332	SRS3258190	2018-05-08	2018-05-04	NaN	119693	119693	119693	71609	477	419	29	29	28	28	28	28	28	2
SAL_PA5607AA	520177	SRR7140656;ILLUMINA;Paired;;SRX4061513;;	SAL_PA5607AA	Human	Human	Homo sapiens; human	2018	4			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09100738	SRS3278107	2018-05-10	2018-05-10	NaN	155376	120372	120372	71609	477	419	29	29	28	28	28	28	28	2
SAL_PA8263AA	PNUSAS041353	SRR7193833;ILLUMINA;Paired;;SRX4110404;;	SAL_PA8263AA								North America	United States											Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch			PRJNA230403	SRP040281	SAMN09237747	SRS3325892	2018-05-22	2018-05-22	NaN	122179	122179	122179	71609	477	419	29	29	28	28	28	28	28	2
SAL_PA9485AA	534004	SRR7230721;ILLUMINA;Paired;;SRX4137130;;	SAL_PA9485AA	Human	Human	Homo sapiens; human	2018	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09276873	SRS3351022	2018-05-30	2018-05-30	NaN	123365	123365	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_QA0509AA	539051	SRR7251066;ILLUMINA;Paired;;SRX4155792;;	SAL_QA0509AA	Human	Human	Homo sapiens; human	2018	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09298389	SRS3368861	2018-06-04	2018-06-03	NaN	124091	124091	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_QA1366AA	539045	SRR7275008;ILLUMINA;Paired;;SRX4178615;;	SAL_QA1366AA	Human	Human	Homo sapiens; human	2018	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09377490	SRS3390231	2018-06-08	2018-06-07	NaN	124627	124627	124627	71609	477	419	29	29	28	28	28	28	28	2
SAL_QA2400AA	545276	SRR7285810;ILLUMINA;Paired;;SRX4189350;;	SAL_QA2400AA	Human	Human	Homo sapiens; human	2018	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09387949	SRS3400591	2018-06-11	2018-06-10	NaN	127022	127022	127022	71609	477	419	29	29	28	28	28	28	28	2
SAL_QA6167AA	548593	SRR7369104;ILLUMINA;Paired;;SRX4242048;;	SAL_QA6167AA	Human	Human	Homo sapiens; human	2018	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09459306	SRS3437969	2018-06-20	2018-06-20	NaN	124091	124091	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_RA1106AA	373277	SRR7457875;ILLUMINA;Paired;;SRX4328371;;	SAL_RA1106AA	Human	Human	Homo sapiens; human	2017	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09521844	SRS3490474	2018-07-02	2018-07-01	NaN	119600	119600	72275	71609	477	419	29	29	28	28	28	28	28	2
SAL_RA3551AA	363556	SRR7480644;ILLUMINA;Paired;;SRX4350085;;	SAL_RA3551AA	Human	Human	Homo sapiens; human	2017	4			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09624505	SRS3509697	2018-07-08	2018-07-07	NaN	135581	135581	135581	71609	477	419	29	29	28	28	28	28	28	2
SAL_RA7946AA	570837	SRR7533542;ILLUMINA;Paired;;SRX4401471;;	SAL_RA7946AA	Human	Human	Homo sapiens; human	2018	7			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09684024	SRS3556000	2018-07-18	2018-07-18	NaN	138594	138594	138594	71609	477	419	29	29	28	28	28	28	28	2
SAL_SA4758AA	575640	SRR7828470;ILLUMINA;Paired;;SRX4679439;;	SAL_SA4758AA	Human	Human	Homo sapiens; human	2018	7			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10058744	SRS3773228	2018-09-14	2018-09-14	NaN	142671	142671	120372	71609	477	419	29	29	28	28	28	28	28	2
SAL_SA6119AA	598067	SRR7850646;ILLUMINA;Paired;;SRX4701405;;	SAL_SA6119AA	Human	Human	Homo sapiens; human	2018	8			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10076160	SRS3787729	2018-09-17	2018-09-17	NaN	143674	143540	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_SA6792AA	369911	SRR7866904;ILLUMINA;Paired;;SRX4706084;;	SAL_SA6792AA	Human	Human	Homo sapiens; human	2017	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10080067	SRS3791847	2018-09-18	2018-09-18	NaN	143540	143540	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_SA7638AA	605811	SRR7885293;ILLUMINA;Paired;;SRX4723020;;	SAL_SA7638AA	Human	Human	Homo sapiens; human	2018	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10098116	SRS3808064	2018-09-21	2018-09-21	NaN	144635	144635	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_SA8676AA	538374	SRR7892218;ILLUMINA;Paired;;SRX4729795;;	SAL_SA8676AA	Human	Human	Homo sapiens; human	2018	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10104839	SRS3812225	2018-09-24	2018-09-23	NaN	144881	144881	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_TA2397AA	624403	SRR8084250;ILLUMINA;Paired;;SRX4911293;;	SAL_TA2397AA	Human	Human	Homo sapiens; human	2018	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10267046	SRS3957018	2018-10-23	2018-10-23	NaN	147787	147787	138594	71609	477	419	29	29	28	28	28	28	28	2
SAL_TA8357AA	608560	SRR8204751;ILLUMINA;Paired;;SRX5024077;;	SAL_TA8357AA	Human	Human	Homo sapiens; human	2018	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10438984	SRS4055787	2018-11-20	2018-11-19	NaN	153801	153801	138594	71609	477	419	29	29	28	28	28	28	28	2
SAL_TA8501AA	637850	SRR8201788;ILLUMINA;Paired;;SRX5021164;;	SAL_TA8501AA	Human	Human	Homo sapiens; human	2018	11			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10437976	SRS4053929	2018-11-20	2018-11-18	NaN	153655	153655	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_UA2758AA	647431	SRR8281207;ILLUMINA;Paired;;SRX5096012;;	SAL_UA2758AA	Human	Human	Homo sapiens; human	2018	11			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10521843	SRS4115445	2018-12-07	2018-12-07	NaN	157065	157065	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_UA2853AA	649902	SRR8292182;ILLUMINA;Paired;;SRX5106770;;	SAL_UA2853AA	Human	Human	Homo sapiens; human	2018	11			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10534843	SRS4116311	2018-12-09	2018-12-08	NaN	157138	157138	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_UA2991AA	647856	SRR8293584;ILLUMINA;Paired;;SRX5108172;;	SAL_UA2991AA	Human	Human	Homo sapiens; human	2018	11			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10535889	SRS4117616	2018-12-10	2018-12-10	NaN	161519	157138	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_UA5368AA	620449	SRR8325484;ILLUMINA;Paired;;SRX5137301;;	SAL_UA5368AA	Human	Human	Homo sapiens; human	2018	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10599802	SRS4149597	2018-12-17	2018-12-15	NaN	162662	159476	159476	71609	477	419	29	29	28	28	28	28	28	2
SAL_UA6077AA	621744	SRR8368735;ILLUMINA;Paired;;SRX5178924;;	SAL_UA6077AA	Human	Human	Homo sapiens; human	2018	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10642495	SRS4186178	2018-12-25	2018-12-25	NaN	163182	160110	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_UA6522AA	576383	SRR8382441;ILLUMINA;Paired;;SRX5192381;;	SAL_UA6522AA	Human	Human	Homo sapiens; human	2018	7			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10666929	SRS4198448	2019-01-02	2019-01-02	NaN	163460	160537	120372	71609	477	419	29	29	28	28	28	28	28	2
SAL_VA2531AA	429735	SRR8528665;ILLUMINA;Paired;;SRX5332035;;	SAL_VA2531AA	Human	Human	Homo sapiens; human	2017	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10871191	SRS4326380	2019-02-05	2019-02-05	NaN	169085	169085	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_VA4484AA	402795	SRR8553898;ILLUMINA;Paired;;SRX5355675;;	SAL_VA4484AA	Human	Human	Homo sapiens; human	2017	8			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN10907496	SRS4346862	2019-02-11	2019-02-10	NaN	119600	119600	72275	71609	477	419	29	29	28	28	28	28	28	2
SAL_VA8222AA	366356	SRR8637739;ILLUMINA;Paired;;SRX5436407;;	SAL_VA8222AA	Human	Human	Homo sapiens; human	2017	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11025537	SRS4414533	2019-02-27	2019-02-27	NaN	172330	172330	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_VA8458AA	690371	SRR8648310;ILLUMINA;Paired;;SRX5446089;;	SAL_VA8458AA	Human	Human	Homo sapiens; human	2019	2			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11031754	SRS4423138	2019-03-01	2019-02-28	NaN	172570	172570	172570	71609	477	419	29	29	28	28	28	28	28	2
SAL_VA8494AA	376023	SRR8648231;ILLUMINA;Paired;;SRX5446012;;	SAL_VA8494AA	Human	Human	Homo sapiens; human	2017	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11031768	SRS4423061	2019-03-01	2019-02-28	NaN	172521	172521	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_VA8514AA	349300	SRR8648209;ILLUMINA;Paired;;SRX5445990;;	SAL_VA8514AA	Human	Human	Homo sapiens; human	2017	3			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11031761	SRS4423039	2019-03-01	2019-02-28	NaN	172507	172507	72275	71609	477	419	29	29	28	28	28	28	28	2
SAL_VA8680AA	365830	SRR8655336;ILLUMINA;Paired;;SRX5453049;;	SAL_VA8680AA	Human	Human	Homo sapiens; human	2017	4			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11042277	SRS4428943	2019-03-03	2019-03-02	NaN	172711	143540	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_WA1131AA	SMG-19-327	traces-0ELEZDb;ILLUMINA;Paired;;NA;;	SAL_WA1131AA								Europe	United Kingdom	Scotland										D. Brown (Scotland)							2019-03-14	2019-03-14	NaN	171267	171267	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_WA9032AA	738682	SRR9054516;ILLUMINA;Paired;;SRX5830760;;	SAL_WA9032AA	Human	Human	Homo sapiens; human	2019	4			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11644873	SRS4765373	2019-05-16	2019-05-15	NaN	181101	181101	181101	71609	477	419	29	29	28	28	28	28	28	2
SAL_WA9840AA	745264	SRR9122659;ILLUMINA;Paired;;SRX5896641;;	SAL_WA9840AA	Human	Human	Homo sapiens; human	2019	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN11853899	SRS4818181	2019-05-30	2019-05-25	NaN	183523	183523	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_XA3290AA	753202	SRR9261371;ILLUMINA;Paired;;SRX6031811;;	SAL_XA3290AA	Human	Human	Homo sapiens; human	2019	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12009226	SRS4935380	2019-06-11	2019-06-11	NaN	184913	184913	184913	71609	477	419	29	29	28	28	28	28	28	2
SAL_XA4015AA	741041	SRR9274349;ILLUMINA;Paired;;SRX6044480;;	SAL_XA4015AA	Human	Human	Homo sapiens; human	2019	5			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12023932	SRS4947605	2019-06-12	2019-06-12	NaN	185724	185724	159476	71609	477	419	29	29	28	28	28	28	28	2
SAL_XA5097AA	757873	SRR9304522;ILLUMINA;Paired;;SRX6072966;;	SAL_XA5097AA	Human	Human	Homo sapiens; human	2019	6			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12059983	SRS4975295	2019-06-16	2019-06-15	NaN	183523	183523	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_XA6939AA	764521	SRR9595254;ILLUMINA;Paired;;SRX6360966;;	SAL_XA6939AA	Human	Human	Homo sapiens; human	2019	6			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12137484	SRS5023273	2019-06-26	2019-06-26	NaN	188235	188235	188235	71609	477	419	29	29	28	28	28	28	28	2
SAL_YA3380AA	776596	SRR9720442;ILLUMINA;Paired;;SRX6478140;;	SAL_YA3380AA	Human	Human	Homo sapiens; human	2019	7			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12326936	SRS5128432	2019-07-23	2019-07-21	NaN	194844	194844	159476	71609	477	419	29	29	28	28	28	28	28	2
SAL_YA3387AA	776594	SRR9720435;ILLUMINA;Paired;;SRX6478133;;	SAL_YA3387AA	Human	Human	Homo sapiens; human	2019	7			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12326927	SRS5128425	2019-07-23	2019-07-21	NaN	194772	194772	120372	71609	477	419	29	29	28	28	28	28	28	2
SAL_YA5474AA	773764	SRR9826999;ILLUMINA;Paired;;SRX6583667;;	SAL_YA5474AA	Human	Human	Homo sapiens; human	2019	7			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12356537	SRS5149237	2019-07-25	2019-07-25	NaN	195546	195546	195546	71609	477	419	29	29	28	28	28	28	28	2
SAL_YA6042AA	779342	SRR9846981;ILLUMINA;Paired;;SRX6601606;;	SAL_YA6042AA	Human	Human	Homo sapiens; human	2019	7			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12375506	SRS5166668	2019-07-28	2019-07-27	NaN	196098	196098	196098	71609	477	419	29	29	28	28	28	28	28	2
SAL_ZA0698AA	796477	SRR10050084;ILLUMINA;Paired;;SRX6784485;;	SAL_ZA0698AA	Human	Human	Homo sapiens; human	2019	8			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12663102	SRS5330570	2019-09-01	2019-08-31	NaN	200011	200011	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_ZA2283AA	800631	SRR10096439;ILLUMINA;Paired;;SRX6828609;;	SAL_ZA2283AA	Human	Human	Homo sapiens; human	2019	8			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12724470	SRS5370785	2019-09-11	2019-09-11	NaN	201138	201138	201138	71609	477	419	29	29	28	28	28	28	28	2
SAL_ZA5615AA	SMG-19-1607	traces-0AzOxul;ILLUMINA;Paired;;NA;;	SAL_ZA5615AA								Europe	United Kingdom	Scotland										D. Brown (Scotland)							2019-10-04	2019-10-04	NaN	203935	203935	203935	71609	477	419	29	29	28	28	28	28	28	2
SAL_ZA5727AA	808023	SRR10228903;ILLUMINA;Paired;;SRX6948868;;	SAL_ZA5727AA	Human	Human	Homo sapiens; human	2019	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12910888	SRS5476780	2019-10-04	2019-10-04	NaN	204018	204018	204018	71609	477	419	29	29	28	28	28	28	28	2
SAL_ZA6136AA	808807	SRR10235802;ILLUMINA;Paired;;SRX6955041;;	SAL_ZA6136AA	Human	Human	Homo sapiens; human	2019	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12920439	SRS5482431	2019-10-07	2019-10-06	NaN	183523	183523	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_ZA7175AA	SMG-19-1697	traces-0hJrqkq;ILLUMINA;Paired;;NA;;	SAL_ZA7175AA								Europe	United Kingdom	Scotland										D. Brown (Scotland)							2019-10-15	2019-10-15	NaN	205256	205256	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_AB0050AA	814886	SRR10247584;ILLUMINA;Paired;;SRX6966043;;	SAL_AB0050AA	Human	Human	Homo sapiens; human	2019	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12995397	SRS5491826	2019-10-18	2019-10-09	NaN	206135	206135	206135	71609	477	419	29	29	28	28	28	28	28	2
SAL_AB0655AA	823473	SRR10314915;ILLUMINA;Paired;;SRX7026045;;	SAL_AB0655AA	Human	Human	Homo sapiens; human	2019	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN13065287	SRS5546637	2019-10-21	2019-10-21	NaN	208082	208082	208082	71609	477	419	29	29	28	28	28	28	28	2
SAL_AB1027AA	824475	SRR10326278;ILLUMINA;Paired;;SRX7036462;;	SAL_AB1027AA	Human	Human	Homo sapiens; human	2019	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN13087633	SRS5556420	2019-10-26	2019-10-23	NaN	144881	144881	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_AB1800AA	SMG-19-1830	traces-0ksXztF;ILLUMINA;Paired;;NA;;	SAL_AB1800AA								Europe	United Kingdom	Scotland										D. Brown (Scotland)							2019-11-01	2019-11-01	NaN	208983	208983	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_BB1198AA	SMG-19-2012	traces-0NErzBW;ILLUMINA;Paired;;NA;;	SAL_BB1198AA								Europe	United Kingdom	Scotland										D. Brown (Scotland)							2019-11-22	2019-11-22	NaN	214487	205256	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_BB3595AA	SMG-19-2150	traces-0tqxKar;ILLUMINA;Paired;;NA;;	SAL_BB3595AA								Europe	United Kingdom	Scotland										D. Brown (Scotland)							2019-12-09	2019-12-09	NaN	217678	217678	217678	71609	477	419	29	29	28	28	28	28	28	2
SAL_BB8501AA	865044	SRR10843965;ILLUMINA;Paired;;SRX7514603;;	SAL_BB8501AA	Human	Human	Homo sapiens; human	2019	12			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN13749996	SRS5954288	2020-01-09	2020-01-08	NaN	183523	183523	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_CB2217AA	868421	SRR10900025;ILLUMINA;Paired;;SRX7568829;;	SAL_CB2217AA	Human	Human	Homo sapiens; human	2019	12			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN13869870	SRS6004909	2020-02-14	2020-01-16	NaN	223004	223004	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_CB7164AA	912522	SRR11410174;ILLUMINA;Paired;;SRX7988850;;	SAL_CB7164AA	Human	Human	Homo sapiens; human	2020	3			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN14443933	SRS6372425	2020-03-25	2020-03-25	NaN	228787	228787	228787	71609	477	419	29	29	28	28	28	28	28	2
SAL_CB8600AA	PSU-2517	SRR11456509;ILLUMINA;Paired;;SRX8034110;;	SAL_CB8600AA	Poultry	Poultry	Chicken stool (Gallus gallus domesticus)	2018				Asia	Pakistan											Penn State University			PRJNA357723	SRP106794	SAMN14490821	SRS6406398	2020-04-02	2020-04-02	NaN	229548	229548	123365	71609	477	419	29	29	28	28	28	28	28	2
SAL_CB8601AA	PSU-2516	SRR11456510;ILLUMINA;Paired;;SRX8034109;;	SAL_CB8601AA	Poultry	Poultry	Chicken stool (Gallus gallus domesticus)	2018				Asia	Pakistan											Penn State University			PRJNA357723	SRP106794	SAMN14490820	SRS6406395	2020-04-02	2020-04-02	NaN	229519	229519	123365	71609	477	419	29	29	28	28	28	28	28	2
